brandcasting,brand,broadcasting
transumer,transient,consumer
sharenting,share,parenting
twoonie,two,loonie
bullshot,bullshit,screenshot
africoon,african,coon
magalogue,magazine,catalogue
mantrum,man,tantrum
oxaldehyde,oxalic,aldehyde
cama,camel,llama
plasticuffs,plastic,cuffs
architourism,architecture,tourism
cobainiac,cobain,maniac
pastafarian,pasta,rastafarian
homosexless,homosexual,sexless
splitwheel,split,cartwheel
doubloonie,double,loonie
synzyme,synthetic,enzyme
entertailing,entertaining,retailing
twigloo,twig,igloo
humidex,humidity,index
ufocal,ufo,focal
handicapable,handicapped,capable
bugly,butt,ugly
vinnifer,vince,jennifer
cyclohexannulation,cyclohexane,annulation
biostitute,biology,prostitute
poofy,poof,puffy
restafarian,rest,rastafarian
chavril,chad,avril
hectivity,hectic,activity
beergarita,beer,margarita
sheerio,sheeran,cheerio
hasbian,has-been,lesbian
translocase,translocate,ase
broket,broken,bracket
spanglish,spanish,english
effeminist,effeminate,feminist
cybrary,cyber,library
womantic,woman,romantic
baltimoron,baltimore,moron
beetball,beet,meatball
odditorium,odd,auditorium
hypervisor,hyper,supervisor
brandwidth,brand,bandwidth
azipod,azimuth thruster,tripod
minisode,mini,episode
handicapitalism,handicap,capitalism
flotel,float,hotel
dot-coma,dot-com,coma
renovict,renovate,evict
sensurround,sense,surround
bloggerati,blogger,literati
tenderoni,tender,macaroni
familymoon,family,honeymoon
friendsgiving,friends,thanksgiving
godcasting,god,podcasting
brodeo,bro,rodeo
troglodyke,troglodyte,dyke
presentity,presence,entity
queerious,queer,curious
joggling,jogging,juggling
animanga,anime,manga
bosox,boston,red sox
procrasturbate,procrastinate,masturbate
quagma,quark,magma
britpick,brit,nitpick
catazine,catalogue,magazine
cyclobutannulated,cyclobutane,annulated
infiniverse,infinite,universe
putler,putin,hitler
haliver oil,halibut,cod liver oil
redfella,red,goodfella
purranormal,purr,paranormal
snakeboard,snake,skateboard
blort,blow,snort
dumpster,dump,dempster
meiome,meiosis,ome
sheeple,sheep,people
doff,do,off
japanazi,japanese,nazi
thoughtography,thought,photography
anacronym,anachronism,acronym
chumpion,chump,champion
jawaiian,jamaica,hawaiian
farmaceutical,farm,pharmaceutical
jetiquette,jet,etiquette
sunlights,sunlight,highlights
spange,spare,change
nintendinitis,nintendo,tendinitis
tvcr,tv,vcr
bonkbuster,bonk,blockbuster
fanson,fan,hanson
japanglish,japanese,english
hand wedge,hand,sand wedge
blizzaster,blizzard,disaster
hellfare,hell,welfare
celebreality,celebrity,reality
fursona,furry,persona
federast,federalist,pederast
greige,grey,beige
metrogaine,metro,rogaine
momnesia,mom,amnesia
tweetup,tweet,meetup
netizen,net,citizen
thish,this,ish
brightsizing,bright,rightsizing
arachnerd,arachnid,nerd
nihonglish,nihongo,english
prebuttal,pre,rebuttal
glamazonian,glamour,amazonian
sprinter,spring,winter
anonymouse,anonymous,mouse
vegangelical,vegan,evangelical
hissian,hiss,hessian
shagaluf,shag,magaluf
freeconomics,free,economics
brandalism,brand,vandalism
laze,lava,haze
viewspaper,views,newspaper
masshole,massachusetts,asshole
medicare,medical,care
screamo,scream,emo
puncept,pun,concept
cutensil,cute,utensil
spillow,spike,willow
sanctimommy,sanctimony,mommy
governator,governor,terminator
czechnology,czech,technology
swenglish,swedish,english
shim,she,him
trollywood,trollhattan,hollywood
roomba,room,rumba
dot-commiserate,dot-com,commiserate
correntropy,correlation,entropy
compunications,computer,communications
edgel,edge,pixel
stfan,stf,fan
cabulance,cab,ambulance
hunglish,hungarian,english
funemployment,fun,unemployment
fibershed,fiber,watershed
warphan,war,orphan
starchitect,star,architect
lutar,lute,guitar
quillow,quilt,pillow
fertaric acid,ferulic acid,tartaric acid
hollyweird,hollywood,weird
poperetta,pop,operetta
femcee,female,emcee
zircophyllite,zirconium,astrophyllite
camouflanguage,camouflage,language
medicide,medical,suicide
sexperience,sex,experience
texpat,texas,expat
poopetrator,poop,perpetrator
polkabilly,polka,rockabilly
womance,woman,romance
china doll,china,china doll
annish,anniversary,ish
stopout,stop,dropout
glassphalt,glass,asphalt
optrode,optical,electrode
teleportal,teleport,portal
yumptious,yum,scrumptious
obomber,obama,bomber
facturd,factoid,turd
floordrobe,floor,wardrobe
sext,sex,text
moffic,moffatt,fanfic
bacronym,back,acronym
computronium,computer,neutronium
kendra,kenneth,sandra
shellular,shell,cellular
digiterati,digital,literati
anachronym,anachronous,acronym
statite,static,satellite
democrazy,democracy,crazy
amerindian,american,indian
splatterday,splatter,saturday
glymphatic,glial,lymphatic
zitcom,zit,sitcom
