coutaric acid,coumaric acid,tartaric acid
dixiecrat,dixie,democrat
fixit,finland,exit
blacktivist,black,activist
methene,methyl,ethylene
cruck,car,truck
pubcaster,public,broadcaster
bushbama,bush,obama
asciibetical,ascii,alphabetical
proteome,protein,genome
altazimuth,altitude,azimuth
floof,fluff,poof
misfuck,mistake,fuck
cablegami,cable,origami
aberzombie,abercrombie,zombie
vinaxanthone,vinaceum,xanthone
tollywood,telugu,hollywood
conreport,convention,report
infodemic,information,epidemic
nollywood,nigeria,hollywood
mancation,man,vacation
surfel,surface,voxel
coffice,cubicle,office
ramscoop,ramjet,scoop
fauxcest,faux,incest
croggle,crush,goggle
cybernation,cybernetic,automation
phablet,phone,tablet
freebsd,free,bsd
breathalyzer,breath,analyzer
mangina,man,vagina
hetdar,het,radar
sexcapade,sex,escapade
snowpocalypse,snow,apocalypse
posynomial,positive,polynomial
fenglish,farsi,english
hebdomadiversary,hebdomad,anniversary
snuba,snorkel,scuba
meninist,men,feminist
gunk,grime,funk
stimpmeter,stimpson,meter
munt,man,cunt
methoxyl,methyl,hydroxyl
upsert,update,insert
gun fu,gun,kung fu
weblebrity,web,celebrity
winblows,windows,blows
cronut,croissant,doughnut
booklegger,book,bootlegger
alderperson,alderman,person
adlayer,adsorb,layer
lamalginite,lamina,alginite
splog,spam,blog
superpussy,super,pussy
retailtainment,retail,entertainment
foodflation,food,inflation
vook,video,book
hacktivist,hack,activist
bandkini,bandeau,bikini
backronym,back-formation,acronym
pokedollar,pokemon,dollar
digizine,digital,magazine
digipeater,digital,repeater
walkathon,walk,marathon
adenovirus,adenoid,virus
docuseries,documentary,series
singjay,sing,deejay
halterini,halter,bikini
hopeium,hope,opium
zebavidin,zebrafish,avidin
cumbermania,cumberbatch,mania
ginormous,gigantic,enormous
magnetar,magnet,pulsar
indoleacetic,indole,acetic
tricknology,trick,technology
telestrator,tele,demonstrator
maniverter,manifold,converter
geoboard,geometry,board
terephthalic acid,terebic,phthalic acid
thrillmance,thriller,romance
virgin caesar,virgin,bloody caesar
nonylene,nonane,ethylene
kidfluence,kid,influence
infotopia,information,utopia
trancecore,trance,hardcore
telecast,tele,broadcast
chugger,charity,mugger
galactography,galactic,geography
donkra,donkey,zebra
stodgy,stuffy,podgy
timberbiel,timberlake,biel
apprecihate,appreciate,hate
webtop,web,desktop
scratchiti,scratch,graffiti
dogote,dog,coyote
huboon,human,baboon
agribusiness,agriculture,business
henchboy,henchman,boy
sortation,sort,automation
thermistor,thermal,resistor
fucksome,fucking,awesome
piglice,pig,police
gyprock,gypsum,rock
fluorspar,fluorite,spar
shoeicide bomber,shoe,suicide bomber
snowcrete,snow,concrete
seajack,sea,hijack
snottite,snot,stalactite
jelena,justin,selena
gaymer,gay,gamer
faith-lift,faith,face-lift
hijabista,hijab,fashionista
frexit,france,exit
prenylome,prenyl,genome
copyfighter,copyright,fighter
homedulgence,home,indulgence
caskett,castle,beckett
momtrepreneur,mom,entrepreneur
macbook,macintosh,notebook
virgin mary,virgin,bloody mary
cyclopamine,cyclops,amine
remembrance sunday,remembrance day,sunday
alphamosaic,alphabetical,mosaic
spintronics,spin,electronics
gription,grip,traction
memex,memory,index
furoin,furan,benzoin
tinygram,tiny,datagram
suethor,sue,author
romneycare,romney,healthcare
gaydar,gay,radar
softlifting,software,shoplifting
inity,i,unity
portafilter,portable,filter
tudorbethan,tudor,elizabethan
artilect,artificial,intellect
blogcast,blog,podcast
vegeburger,vegetable,burger
hypothecation,hypothetical,dedication
frolf,frisbee,golf
gayborhood,gay,neighborhood
deaflympics,deaf,olympics
cyberchondria,cyber,hypochondria
vietraq,vietnam,iraq
cyberman,cybernetic,man
airbill,air,waybill
dunglish,dutch,english
janglish,japanese,english
fauxgressive,faux,progressive
weddingmoon,wedding,honeymoon
assicon,ass,emoticon
emotronica,emo,electronica
postvention,post,intervention
madchester,mad,manchester
spime,space,time
nand,not,and
alkargen,alkarsin,oxygen
tigon,tiger,lion
silicyne,silicon,carbyne
dormcest,dormitory,incest
tweep,twitter,creep
glycolipidome,glycolipid,genome
vagitarian,vagina,vegetarian
punycode,puny,unicode
angryphone,angry,anglophone
gustnado,gust front,tornado
camford,cambridge,oxford
copyfight,copyright,fight
pykrete,pyke,concrete
thanksmas,thanksgiving,christmas
fastpack,fast,backpack
sublebrity,sub,celebrity
hypnodelic,hypnotic,psychedelic
rockoon,rocket,balloon
ecotopia,eco,utopia
toxidrome,toxic,syndrome
boomburb,boom,suburb
phonemark,phone,earmark
brandjacking,brand,hijacking
mirdle,man,girdle
lolsuit,lol,lawsuit
autobiografiction,autobiography,fiction
cuntada,cunt,canada
itinually,i,continually
gayby,gay,baby
sibcest,sibling,incest
carbogen,carbon,oxygen
folktronica,folk,electronica
throuple,three,couple
fauxminist,faux,feminist
gothabilly,goth,rockabilly
hongcouver,hong kong,vancouver
swop,swing,hip-hop
dykon,dyke,icon
shegging,shiny,legging
mankini,man,bikini
jedward,john,edward
